phoneme,time,duration,F0,F1,F2,F3
5,32.73662659951264,0.010499246441380065,4.4533240464735835,33.9102113792053,62.289737850677824,151.38938420635557
E,34.55046742109149,0.014932548459266788,3.33306076489713,16.914404634124505,54.54220805949444,20.53138578495096
I,40.010660345312935,0.007806230794494407,5.796913736188836,28.964950624121563,59.929493465972705,93.51877015048285
O,23.04965968925017,0.019824774086529433,5.236581724029429,16.0060087612076,19.71410851611439,87.21097944822799
U,35.83019965624985,0.010162466396476041,4.926453155282516,19.280819974873978,128.2018135055363,78.25217627443534
a,38.44160608488787,0.018031775480569667,5.759289596264858,30.006192916002675,63.074306851668766,92.94417789163441
e,33.04893999640428,0.015342128718238875,5.527738397115936,22.31689172466613,85.73555379773599,103.46561299543046
i,40.24307696054874,0.013345384934432424,5.966985890331411,18.826825788459836,47.524978300973515,67.54867738231022
o,44.616631285132605,0.02030434131666858,4.781023878128955,30.501457641056057,96.90617564307685,74.43862446638663
u,,,,,,
